energy [kev]	0	1	2	3	4	5	6	7	8	9	
10.361000061	0.0292154733592	0.0273982220285	0.0239191571831	0.024240548778	0.0259790093156	0.0243885535542	0.0262221123833	0.027281769731	0.0303780334268	0.0327952705858	
10.3620004654	0.0374079466146	0.033911023072	0.0283228350511	0.0307945202482	0.0333387495901	0.0386298573834	0.0419730651037	0.0363779177578	0.0430700337802	0.0451753788961	
10.3629999161	0.0482247484179	0.0506260885281	0.0447845453924	0.0388289314445	0.0403477295835	0.0499902729235	0.0558157158304	0.0556391508356	0.0478099744175	0.0401099858607	
10.3640003204	0.0497656429975	0.0519734944908	0.0477783890299	0.0464108031006	0.0555605454346	0.0608027216428	0.0762477776417	0.0806190468558	0.0743708542818	0.0671810302293	
10.3649997711	0.0851905934149	0.0801363917384	0.064180453984	0.0629773537253	0.0745297960589	0.0856843417254	0.0914448194773	0.100732832398	0.0891190744783	0.0868545687142	
10.3660001755	0.0985436931182	0.114758647205	0.105180597731	0.0972289757832	0.126214497166	0.1470951354	0.169910865753	0.202164338645	0.148484461074	0.120980629966	
10.3669996262	0.16911942249	0.170082631103	0.15053192362	0.174256078402	0.202256900811	0.243111026893	0.298908500709	0.312935491103	0.274805072787	0.217075145175	
10.3680000305	0.323806915405	0.282686431615	0.278220840952	0.312897073444	0.399594660013	0.50679753649	0.649023190127	0.650502424897	0.495481153797	0.386053878961	
10.3690004349	0.501362895005	0.561097622767	0.504189770611	0.487317624032	0.601633296964	0.7014666961	0.868682749745	0.910432417036	0.782916873483	0.69211604333	
10.3699998856	0.924566423625	0.951391961021	0.872226239689	0.820221506272	0.796381944087	0.851876012819	1.03783471828	1.18253939877	1.16919739913	1.13293124223	
10.3710002899	1.27036850535	1.30498564947	1.14633318632	1.15292138173	1.26132246198	1.29536895919	1.38198369764	1.37203760184	1.28569457375	1.33723008898	
10.3719997406	1.51835996431	1.54818026174	1.40527062329	1.32953071755	1.40926773799	1.39704413974	1.52741942929	1.48964647709	1.32176408471	1.41495402988	
10.373000145	1.44028555937	1.60953011014	1.46077599202	1.39303793496	1.43379559978	1.49670864147	1.64318240243	1.6451094702	1.56164907708	1.44332587857	
10.3739995956	1.49154664679	1.61126750757	1.51737866694	1.50074621008	1.53945759523	1.55346199605	1.69948435206	1.68315895443	1.64123820048	1.50755360021	
10.375	1.68432298085	1.82321624106	1.67143392523	1.70991830002	1.72425399929	1.64812248526	1.58960518082	1.59561981075	1.56106305706	1.63876559648	
10.3760004044	1.69848924084	1.78197487577	1.69139236031	1.60513088435	1.60738076667	1.55273534115	1.61591886642	1.56885951056	1.59113366635	1.62543691007	
10.376999855	1.50755915532	1.70096111934	1.70691946355	1.7060098891	1.65480255496	1.61322450741	1.68610702406	1.58966293075	1.60597908585	1.45934850179	
10.3780002594	1.57909327279	1.63678072637	1.6597347983	1.74409137073	1.67366388817	1.58500005178	1.50298130118	1.55718282766	1.61847506781	1.58297919665	
10.3789997101	1.67757010932	1.711609809	1.75826590586	1.69359306411	1.58040715906	1.5399574165	1.61232106741	1.57509716865	1.52658950772	1.46622159642	
10.3800001144	1.36057245808	1.55945332047	1.61548760755	1.65156143277	1.56915644452	1.37688362753	1.38937935512	1.40332459939	1.35602643002	1.47314935481	
10.3809995651	1.52955322282	1.5458953149	1.49645526325	1.46944825324	1.40158444312	1.40544927433	1.37961699769	1.31448485282	1.29276327769	1.28050159059	
10.3819999695	1.26901777078	1.39983865636	1.38470306439	1.33777891418	1.27482136492	1.22928924498	1.32991842177	1.28053229921	1.25970798366	1.18050294874	
10.3830003738	1.29502822501	1.27515310531	1.21725829276	1.18398052165	1.16489410207	1.17584842761	1.23443814516	1.20427852551	1.14967445497	1.0627257401	
10.3839998245	1.09374332643	1.15370850189	1.14480445407	1.14234432586	1.12539088406	1.11141440546	1.12875488405	1.09570539087	1.019248788	1.04175741125	
10.3850002289	1.14799050169	1.15641982449	1.07598591957	1.02014223074	1.00488751829	0.967147993093	1.03336708655	1.04416468365	1.07356167139	1.06745137743	
10.3859996796	1.03410745378	1.10280467446	1.04476191153	1.04117795014	1.03746767874	1.03387668233	1.03202293727	1.03486947082	1.0860209027	0.996074934012	
10.3870000839	1.024725863	1.12576077805	1.09761354829	1.03467777888	0.956975993821	0.947400512493	0.946543906642	0.99953438986	0.993326771184	1.04906624065	
10.3879995346	1.01701876425	1.04785051367	0.99494266498	1.01582419154	1.0817021754	1.0615198154	1.08116381088	1.02936496671	1.04636561918	1.07434808074	
10.388999939	1.02915879148	1.10865404076	0.989285852517	0.937272508143	0.958145601834	0.978949514294	0.98224335423	0.982208414761	0.955963434909	0.961660140841	
