energy [keV]	[[14, 13], 1]	[[15, 13], 2]	[[15, 12], 3]	[[16, 13], 3]	[[15, 11], 4]	[[16, 12], 4]	[[17, 13], 4]	[[16, 11], 5]	[[17, 12], 5]	[[18, 13], 5]	[[16, 10], 6]	[[17, 11], 6]	[[18, 12], 6]	[[17, 10], 7]	[[18, 11], 7]	[[19, 12], 7]	[[18, 10], 8]	[[19, 11], 8]	[[18, 9], 9]	[[19, 10], 9]	[[20, 11], 9]	[[19, 9], 10]	[[20, 10], 10]	
10.361000061	0.0292154733592	0.0273982220285	0.0223442398034	0.0254940745627	0.0195472454249	0.0273087426729	0.0258656582363	0.0274175819395	0.0266177504449	0.0239016955625	0.0218715573401	0.026760421268	0.0245336820546	0.0252459234078	0.0265796923478	0.0268407213944	0.0272126582865	0.0273508811756	0.0380491240928	0.0268169801582	0.0262679960294	0.0377823944043	0.0278081467672	
10.3620004654	0.0374079466146	0.033911023072	0.0312126443667	0.0254330257355	0.0341508471105	0.0264038442077	0.0318288694262	0.0370857030956	0.0347634751007	0.0281670705739	0.0270997293226	0.0446380199157	0.0441518229119	0.0430928309353	0.0423838580033	0.0404425063725	0.0390220573445	0.0337337781711	0.0447337919755	0.0415540776028	0.0429222317623	0.0450130551726	0.0453377026195	
10.3629999161	0.0482247484179	0.0506260885281	0.0460716585289	0.043497432256	0.0328547572857	0.0433875581205	0.0402444789274	0.0407726187602	0.0489371241443	0.0313334458459	0.0453146707586	0.0494721632287	0.0551839847833	0.0554438352411	0.0567094201139	0.0552938921363	0.0528656490585	0.0584126526127	0.0583058560081	0.0453732815797	0.0397507856646	0.0378420887992	0.0423778829222	
10.3640003204	0.0497656429975	0.0519734944908	0.0405959381748	0.054960839885	0.0407967678399	0.0455139126493	0.0529217288125	0.0467702300221	0.0552603773532	0.0646510289286	0.0512117123845	0.0660903333475	0.0651061191962	0.0775748377051	0.0758547984055	0.0753136968146	0.0892556844913	0.0719824092203	0.0939236802162	0.0738831266582	0.0553057559709	0.0721664529822	0.0621956074764	
10.3649997711	0.0851905934149	0.0801363917384	0.058781244441	0.0695796635271	0.05463355547	0.0611765903283	0.0731219153776	0.0800259408722	0.0696067539162	0.0739566933883	0.0858831286848	0.081742727281	0.0894271692104	0.0934323327271	0.0970938518715	0.0838082738333	0.110320742062	0.0911449227327	0.107864137821	0.0920425060683	0.0674505795461	0.0906525479664	0.083056589462	
10.3660001755	0.0985436931182	0.114758647205	0.101804352774	0.108556842688	0.0934169672504	0.0992317750075	0.0990381850918	0.11507248154	0.121207889802	0.142363120156	0.132304070174	0.15709362963	0.151887706397	0.181006010577	0.158802462578	0.169924124103	0.189083958417	0.215244718873	0.173161627179	0.16127674734	0.111015008704	0.116724221094	0.125237038839	
10.3669996262	0.16911942249	0.170082631103	0.137050921073	0.164012926167	0.155843725523	0.167674863164	0.199249646518	0.198713663103	0.210442396952	0.197614642379	0.220090916153	0.252233780197	0.257008384328	0.272396480121	0.316614441239	0.307714580766	0.332381078348	0.293489903859	0.325998441854	0.27289835366	0.225518422846	0.234522743471	0.199627546879	
10.3680000305	0.323806915405	0.282686431615	0.283299614155	0.273142067749	0.295601740102	0.307601282345	0.335488197884	0.377609936508	0.416849974003	0.404324069527	0.426280379935	0.537468615962	0.556643613573	0.598164640566	0.66402314034	0.684881789476	0.637411007983	0.66359384181	0.482789193524	0.506770862555	0.496883405311	0.368719020053	0.403388737868	
10.3690004349	0.501362895005	0.561097622767	0.415462060684	0.592917480537	0.345232945689	0.517304763217	0.599415163189	0.534740067564	0.642311806317	0.627848017009	0.53590168725	0.76770755808	0.800790842971	0.847487523736	0.921247546301	0.837313179199	0.950181078557	0.870683755516	0.923448893985	0.833706002342	0.59159572412	0.790913717239	0.593318369422	
10.3699998856	0.924566423625	0.951391961021	0.793552945194	0.950899534183	0.722486286217	0.839213609994	0.898964622605	0.740810478697	0.951946875091	0.696388478473	0.654039106645	1.05079723796	0.850791693854	1.03769707141	1.09066015706	0.985146926372	1.30593240287	1.05914639467	1.48154962278	1.13261584804	0.89342672657	1.2901142658	0.975748218666	
10.3710002899	1.27036850535	1.30498564947	1.1083013791	1.18436499354	1.0619120592	1.20324709428	1.19360499172	1.23017319179	1.29742871798	1.25636547617	1.17059748271	1.34075641007	1.37475298479	1.25719483319	1.39084604907	1.49791021068	1.27830718561	1.46576801808	1.16545296112	1.36874047242	1.32289028769	1.26526908986	1.4091910881	
10.3719997406	1.51835996431	1.54818026174	1.33299936868	1.4775418779	1.22377051572	1.36698274399	1.39783889292	1.29590802378	1.47206571796	1.45982947222	1.13060802775	1.50823727653	1.55228711496	1.36557603551	1.51880274752	1.69787950484	1.34373558326	1.63555737092	1.16510281061	1.47739070497	1.32279873856	1.32786924021	1.50203881954	
